merchant,month,choiceA,theta,dfee,lagA,Lprev,initA,dfee_bar
1,1,1,1.62775940569732,0.682239113442484,,,1,0.373308808915364
1,2,1,1.62775940569732,-0.787840965873284,1,1,1,0.373308808915364
1,3,1,1.62775940569732,-0.142233808902502,1,1,1,0.373308808915364
1,4,1,1.62775940569732,-0.0418088074788011,1,1,1,0.373308808915364
1,5,1,1.62775940569732,-0.755101798008443,1,1,1,0.373308808915364
1,6,1,1.62775940569732,1.58346197237242,1,1,1,0.373308808915364
1,7,1,1.62775940569732,1.33305855804674,1,1,1,0.373308808915364
1,8,1,1.62775940569732,1.25974145783948,1,1,1,0.373308808915364
1,9,1,1.62775940569732,0.648123692998253,1,1,1,0.373308808915364
1,10,1,1.62775940569732,-0.0465513252827167,1,1,1,0.373308808915364
2,1,0,-0.820294252250271,0.682239113442484,,,0,0.373308808915364
2,2,0,-0.820294252250271,-0.787840965873284,0,-1,0,0.373308808915364
2,3,0,-0.820294252250271,-0.142233808902502,0,-1,0,0.373308808915364
2,4,0,-0.820294252250271,-0.0418088074788011,0,-1,0,0.373308808915364
2,5,0,-0.820294252250271,-0.755101798008443,0,-1,0,0.373308808915364
2,6,0,-0.820294252250271,1.58346197237242,0,-1,0,0.373308808915364
2,7,0,-0.820294252250271,1.33305855804674,0,-1,0,0.373308808915364
2,8,0,-0.820294252250271,1.25974145783948,0,-1,0,0.373308808915364
2,9,1,-0.820294252250271,0.648123692998253,0,-1,0,0.373308808915364
2,10,0,-0.820294252250271,-0.0465513252827167,1,1,0,0.373308808915364
3,1,1,2.49965100464326,0.682239113442484,,,1,0.373308808915364
3,2,1,2.49965100464326,-0.787840965873284,1,1,1,0.373308808915364
3,3,1,2.49965100464326,-0.142233808902502,1,1,1,0.373308808915364
3,4,1,2.49965100464326,-0.0418088074788011,1,1,1,0.373308808915364
3,5,1,2.49965100464326,-0.755101798008443,1,1,1,0.373308808915364
3,6,1,2.49965100464326,1.58346197237242,1,1,1,0.373308808915364
3,7,1,2.49965100464326,1.33305855804674,1,1,1,0.373308808915364
3,8,1,2.49965100464326,1.25974145783948,1,1,1,0.373308808915364
3,9,1,2.49965100464326,0.648123692998253,1,1,1,0.373308808915364
3,10,1,2.49965100464326,-0.0465513252827167,1,1,1,0.373308808915364
4,1,0,-1.86563119467902,0.682239113442484,,,0,0.373308808915364
4,2,0,-1.86563119467902,-0.787840965873284,0,-1,0,0.373308808915364
4,3,0,-1.86563119467902,-0.142233808902502,0,-1,0,0.373308808915364
4,4,0,-1.86563119467902,-0.0418088074788011,0,-1,0,0.373308808915364
4,5,0,-1.86563119467902,-0.755101798008443,0,-1,0,0.373308808915364
4,6,0,-1.86563119467902,1.58346197237242,0,-1,0,0.373308808915364
4,7,0,-1.86563119467902,1.33305855804674,0,-1,0,0.373308808915364
4,8,0,-1.86563119467902,1.25974145783948,0,-1,0,0.373308808915364
4,9,0,-1.86563119467902,0.648123692998253,0,-1,0,0.373308808915364
4,10,0,-1.86563119467902,-0.0465513252827167,0,-1,0,0.373308808915364
5,1,0,-0.625193473174507,0.682239113442484,,,0,0.373308808915364
5,2,0,-0.625193473174507,-0.787840965873284,0,-1,0,0.373308808915364
5,3,0,-0.625193473174507,-0.142233808902502,0,-1,0,0.373308808915364
5,4,1,-0.625193473174507,-0.0418088074788011,0,-1,0,0.373308808915364
5,5,1,-0.625193473174507,-0.755101798008443,1,1,0,0.373308808915364
5,6,0,-0.625193473174507,1.58346197237242,1,1,0,0.373308808915364
5,7,0,-0.625193473174507,1.33305855804674,0,-1,0,0.373308808915364
5,8,0,-0.625193473174507,1.25974145783948,0,-1,0,0.373308808915364
5,9,1,-0.625193473174507,0.648123692998253,0,-1,0,0.373308808915364
5,10,0,-0.625193473174507,-0.0465513252827167,1,1,0,0.373308808915364
6,1,1,0.797448571324966,0.682239113442484,,,1,0.373308808915364
6,2,1,0.797448571324966,-0.787840965873284,1,1,1,0.373308808915364
6,3,1,0.797448571324966,-0.142233808902502,1,1,1,0.373308808915364
6,4,1,0.797448571324966,-0.0418088074788011,1,1,1,0.373308808915364
6,5,1,0.797448571324966,-0.755101798008443,1,1,1,0.373308808915364
6,6,1,0.797448571324966,1.58346197237242,1,1,1,0.373308808915364
6,7,1,0.797448571324966,1.33305855804674,1,1,1,0.373308808915364
6,8,1,0.797448571324966,1.25974145783948,1,1,1,0.373308808915364
6,9,1,0.797448571324966,0.648123692998253,1,1,1,0.373308808915364
6,10,1,0.797448571324966,-0.0465513252827167,1,1,1,0.373308808915364
7,1,0,-4.04560466017977,0.682239113442484,,,0,0.373308808915364
7,2,0,-4.04560466017977,-0.787840965873284,0,-1,0,0.373308808915364
7,3,0,-4.04560466017977,-0.142233808902502,0,-1,0,0.373308808915364
7,4,0,-4.04560466017977,-0.0418088074788011,0,-1,0,0.373308808915364
7,5,0,-4.04560466017977,-0.755101798008443,0,-1,0,0.373308808915364
7,6,0,-4.04560466017977,1.58346197237242,0,-1,0,0.373308808915364
7,7,0,-4.04560466017977,1.33305855804674,0,-1,0,0.373308808915364
7,8,0,-4.04560466017977,1.25974145783948,0,-1,0,0.373308808915364
7,9,0,-4.04560466017977,0.648123692998253,0,-1,0,0.373308808915364
7,10,1,-4.04560466017977,-0.0465513252827167,0,-1,0,0.373308808915364
8,1,0,-1.21662568065718,0.682239113442484,,,0,0.373308808915364
8,2,1,-1.21662568065718,-0.787840965873284,0,-1,0,0.373308808915364
8,3,1,-1.21662568065718,-0.142233808902502,1,1,0,0.373308808915364
8,4,1,-1.21662568065718,-0.0418088074788011,1,1,0,0.373308808915364
8,5,0,-1.21662568065718,-0.755101798008443,1,1,0,0.373308808915364
8,6,0,-1.21662568065718,1.58346197237242,0,-1,0,0.373308808915364
8,7,0,-1.21662568065718,1.33305855804674,0,-1,0,0.373308808915364
8,8,0,-1.21662568065718,1.25974145783948,0,-1,0,0.373308808915364
8,9,0,-1.21662568065718,0.648123692998253,0,-1,0,0.373308808915364
8,10,0,-1.21662568065718,-0.0465513252827167,0,-1,0,0.373308808915364
9,1,0,-0.646383756409498,0.682239113442484,,,0,0.373308808915364
9,2,0,-0.646383756409498,-0.787840965873284,0,-1,0,0.373308808915364
9,3,0,-0.646383756409498,-0.142233808902502,0,-1,0,0.373308808915364
9,4,0,-0.646383756409498,-0.0418088074788011,0,-1,0,0.373308808915364
9,5,0,-0.646383756409498,-0.755101798008443,0,-1,0,0.373308808915364
9,6,0,-0.646383756409498,1.58346197237242,0,-1,0,0.373308808915364
9,7,0,-0.646383756409498,1.33305855804674,0,-1,0,0.373308808915364
9,8,1,-0.646383756409498,1.25974145783948,0,-1,0,0.373308808915364
9,9,0,-0.646383756409498,0.648123692998253,1,1,0,0.373308808915364
9,10,0,-0.646383756409498,-0.0465513252827167,0,-1,0,0.373308808915364
10,1,1,-0.777757274192421,0.682239113442484,,,1,0.373308808915364
10,2,1,-0.777757274192421,-0.787840965873284,1,1,1,0.373308808915364
10,3,1,-0.777757274192421,-0.142233808902502,1,1,1,0.373308808915364
10,4,1,-0.777757274192421,-0.0418088074788011,1,1,1,0.373308808915364
10,5,1,-0.777757274192421,-0.755101798008443,1,1,1,0.373308808915364
10,6,0,-0.777757274192421,1.58346197237242,1,1,1,0.373308808915364
10,7,0,-0.777757274192421,1.33305855804674,0,-1,1,0.373308808915364
10,8,0,-0.777757274192421,1.25974145783948,0,-1,1,0.373308808915364
10,9,1,-0.777757274192421,0.648123692998253,0,-1,1,0.373308808915364
10,10,0,-0.777757274192421,-0.0465513252827167,1,1,1,0.373308808915364
11,1,0,-0.0281895149922253,0.682239113442484,,,0,0.373308808915364
11,2,1,-0.0281895149922253,-0.787840965873284,0,-1,0,0.373308808915364
11,3,1,-0.0281895149922253,-0.142233808902502,1,1,0,0.373308808915364
11,4,1,-0.0281895149922253,-0.0418088074788011,1,1,0,0.373308808915364
11,5,1,-0.0281895149922253,-0.755101798008443,1,1,0,0.373308808915364
11,6,1,-0.0281895149922253,1.58346197237242,1,1,0,0.373308808915364
11,7,1,-0.0281895149922253,1.33305855804674,1,1,0,0.373308808915364
11,8,1,-0.0281895149922253,1.25974145783948,1,1,0,0.373308808915364
11,9,0,-0.0281895149922253,0.648123692998253,1,1,0,0.373308808915364
11,10,0,-0.0281895149922253,-0.0465513252827167,0,-1,0,0.373308808915364
12,1,0,-0.210535113790488,0.682239113442484,,,0,0.373308808915364
12,2,0,-0.210535113790488,-0.787840965873284,0,-1,0,0.373308808915364
12,3,1,-0.210535113790488,-0.142233808902502,0,-1,0,0.373308808915364
12,4,1,-0.210535113790488,-0.0418088074788011,1,1,0,0.373308808915364
12,5,1,-0.210535113790488,-0.755101798008443,1,1,0,0.373308808915364
12,6,0,-0.210535113790488,1.58346197237242,1,1,0,0.373308808915364
12,7,0,-0.210535113790488,1.33305855804674,0,-1,0,0.373308808915364
12,8,0,-0.210535113790488,1.25974145783948,0,-1,0,0.373308808915364
12,9,0,-0.210535113790488,0.648123692998253,0,-1,0,0.373308808915364
12,10,0,-0.210535113790488,-0.0465513252827167,0,-1,0,0.373308808915364
13,1,1,-0.879377458181551,0.682239113442484,,,1,0.373308808915364
13,2,1,-0.879377458181551,-0.787840965873284,1,1,1,0.373308808915364
13,3,1,-0.879377458181551,-0.142233808902502,1,1,1,0.373308808915364
13,4,1,-0.879377458181551,-0.0418088074788011,1,1,1,0.373308808915364
13,5,0,-0.879377458181551,-0.755101798008443,1,1,1,0.373308808915364
13,6,0,-0.879377458181551,1.58346197237242,0,-1,1,0.373308808915364
13,7,0,-0.879377458181551,1.33305855804674,0,-1,1,0.373308808915364
13,8,0,-0.879377458181551,1.25974145783948,0,-1,1,0.373308808915364
13,9,0,-0.879377458181551,0.648123692998253,0,-1,1,0.373308808915364
13,10,0,-0.879377458181551,-0.0465513252827167,0,-1,1,0.373308808915364
14,1,1,1.85250919270596,0.682239113442484,,,1,0.373308808915364
14,2,1,1.85250919270596,-0.787840965873284,1,1,1,0.373308808915364
14,3,1,1.85250919270596,-0.142233808902502,1,1,1,0.373308808915364
14,4,1,1.85250919270596,-0.0418088074788011,1,1,1,0.373308808915364
14,5,1,1.85250919270596,-0.755101798008443,1,1,1,0.373308808915364
14,6,1,1.85250919270596,1.58346197237242,1,1,1,0.373308808915364
14,7,0,1.85250919270596,1.33305855804674,1,1,1,0.373308808915364
14,8,0,1.85250919270596,1.25974145783948,0,-1,1,0.373308808915364
14,9,1,1.85250919270596,0.648123692998253,0,-1,1,0.373308808915364
14,10,1,1.85250919270596,-0.0465513252827167,1,1,1,0.373308808915364
15,1,0,-2.12989079801678,0.682239113442484,,,0,0.373308808915364
15,2,0,-2.12989079801678,-0.787840965873284,0,-1,0,0.373308808915364
15,3,0,-2.12989079801678,-0.142233808902502,0,-1,0,0.373308808915364
15,4,0,-2.12989079801678,-0.0418088074788011,0,-1,0,0.373308808915364
15,5,0,-2.12989079801678,-0.755101798008443,0,-1,0,0.373308808915364
15,6,0,-2.12989079801678,1.58346197237242,0,-1,0,0.373308808915364
15,7,0,-2.12989079801678,1.33305855804674,0,-1,0,0.373308808915364
15,8,0,-2.12989079801678,1.25974145783948,0,-1,0,0.373308808915364
15,9,0,-2.12989079801678,0.648123692998253,0,-1,0,0.373308808915364
15,10,0,-2.12989079801678,-0.0465513252827167,0,-1,0,0.373308808915364
16,1,0,-0.612399016399368,0.682239113442484,,,0,0.373308808915364
16,2,0,-0.612399016399368,-0.787840965873284,0,-1,0,0.373308808915364
16,3,1,-0.612399016399368,-0.142233808902502,0,-1,0,0.373308808915364
16,4,0,-0.612399016399368,-0.0418088074788011,1,1,0,0.373308808915364
16,5,0,-0.612399016399368,-0.755101798008443,0,-1,0,0.373308808915364
16,6,0,-0.612399016399368,1.58346197237242,0,-1,0,0.373308808915364
16,7,0,-0.612399016399368,1.33305855804674,0,-1,0,0.373308808915364
16,8,0,-0.612399016399368,1.25974145783948,0,-1,0,0.373308808915364
16,9,0,-0.612399016399368,0.648123692998253,0,-1,0,0.373308808915364
16,10,0,-0.612399016399368,-0.0465513252827167,0,-1,0,0.373308808915364
17,1,1,1.35880861136076,0.682239113442484,,,1,0.373308808915364
17,2,1,1.35880861136076,-0.787840965873284,1,1,1,0.373308808915364
17,3,1,1.35880861136076,-0.142233808902502,1,1,1,0.373308808915364
17,4,1,1.35880861136076,-0.0418088074788011,1,1,1,0.373308808915364
17,5,1,1.35880861136076,-0.755101798008443,1,1,1,0.373308808915364
17,6,1,1.35880861136076,1.58346197237242,1,1,1,0.373308808915364
17,7,0,1.35880861136076,1.33305855804674,1,1,1,0.373308808915364
17,8,1,1.35880861136076,1.25974145783948,0,-1,1,0.373308808915364
17,9,1,1.35880861136076,0.648123692998253,1,1,1,0.373308808915364
17,10,1,1.35880861136076,-0.0465513252827167,1,1,1,0.373308808915364
18,1,0,0.0395117021946849,0.682239113442484,,,0,0.373308808915364
18,2,1,0.0395117021946849,-0.787840965873284,0,-1,0,0.373308808915364
18,3,0,0.0395117021946849,-0.142233808902502,1,1,0,0.373308808915364
18,4,0,0.0395117021946849,-0.0418088074788011,0,-1,0,0.373308808915364
18,5,0,0.0395117021946849,-0.755101798008443,0,-1,0,0.373308808915364
18,6,0,0.0395117021946849,1.58346197237242,0,-1,0,0.373308808915364
18,7,0,0.0395117021946849,1.33305855804674,0,-1,0,0.373308808915364
18,8,0,0.0395117021946849,1.25974145783948,0,-1,0,0.373308808915364
18,9,1,0.0395117021946849,0.648123692998253,0,-1,0,0.373308808915364
18,10,1,0.0395117021946849,-0.0465513252827167,1,1,0,0.373308808915364
19,1,0,-0.120095064113863,0.682239113442484,,,0,0.373308808915364
19,2,1,-0.120095064113863,-0.787840965873284,0,-1,0,0.373308808915364
19,3,0,-0.120095064113863,-0.142233808902502,1,1,0,0.373308808915364
19,4,0,-0.120095064113863,-0.0418088074788011,0,-1,0,0.373308808915364
19,5,0,-0.120095064113863,-0.755101798008443,0,-1,0,0.373308808915364
19,6,1,-0.120095064113863,1.58346197237242,0,-1,0,0.373308808915364
19,7,0,-0.120095064113863,1.33305855804674,1,1,0,0.373308808915364
19,8,0,-0.120095064113863,1.25974145783948,0,-1,0,0.373308808915364
19,9,0,-0.120095064113863,0.648123692998253,0,-1,0,0.373308808915364
19,10,0,-0.120095064113863,-0.0465513252827167,0,-1,0,0.373308808915364
20,1,0,0.544900166978918,0.682239113442484,,,0,0.373308808915364
20,2,1,0.544900166978918,-0.787840965873284,0,-1,0,0.373308808915364
20,3,0,0.544900166978918,-0.142233808902502,1,1,0,0.373308808915364
20,4,1,0.544900166978918,-0.0418088074788011,0,-1,0,0.373308808915364
20,5,1,0.544900166978918,-0.755101798008443,1,1,0,0.373308808915364
20,6,1,0.544900166978918,1.58346197237242,1,1,0,0.373308808915364
20,7,1,0.544900166978918,1.33305855804674,1,1,0,0.373308808915364
20,8,1,0.544900166978918,1.25974145783948,1,1,0,0.373308808915364
20,9,1,0.544900166978918,0.648123692998253,1,1,0,0.373308808915364
20,10,1,0.544900166978918,-0.0465513252827167,1,1,0,0.373308808915364
21,1,1,0.331362314798066,0.682239113442484,,,1,0.373308808915364
21,2,1,0.331362314798066,-0.787840965873284,1,1,1,0.373308808915364
21,3,0,0.331362314798066,-0.142233808902502,1,1,1,0.373308808915364
21,4,1,0.331362314798066,-0.0418088074788011,0,-1,1,0.373308808915364
21,5,0,0.331362314798066,-0.755101798008443,1,1,1,0.373308808915364
21,6,0,0.331362314798066,1.58346197237242,0,-1,1,0.373308808915364
21,7,0,0.331362314798066,1.33305855804674,0,-1,1,0.373308808915364
21,8,0,0.331362314798066,1.25974145783948,0,-1,1,0.373308808915364
21,9,1,0.331362314798066,0.648123692998253,0,-1,1,0.373308808915364
21,10,1,0.331362314798066,-0.0465513252827167,1,1,1,0.373308808915364
22,1,0,-0.202216317371701,0.682239113442484,,,0,0.373308808915364
22,2,0,-0.202216317371701,-0.787840965873284,0,-1,0,0.373308808915364
22,3,0,-0.202216317371701,-0.142233808902502,0,-1,0,0.373308808915364
22,4,0,-0.202216317371701,-0.0418088074788011,0,-1,0,0.373308808915364
22,5,1,-0.202216317371701,-0.755101798008443,0,-1,0,0.373308808915364
22,6,0,-0.202216317371701,1.58346197237242,1,1,0,0.373308808915364
22,7,0,-0.202216317371701,1.33305855804674,0,-1,0,0.373308808915364
22,8,0,-0.202216317371701,1.25974145783948,0,-1,0,0.373308808915364
22,9,0,-0.202216317371701,0.648123692998253,0,-1,0,0.373308808915364
22,10,0,-0.202216317371701,-0.0465513252827167,0,-1,0,0.373308808915364
23,1,1,1.0111215811286,0.682239113442484,,,1,0.373308808915364
23,2,1,1.0111215811286,-0.787840965873284,1,1,1,0.373308808915364
23,3,1,1.0111215811286,-0.142233808902502,1,1,1,0.373308808915364
23,4,1,1.0111215811286,-0.0418088074788011,1,1,1,0.373308808915364
23,5,1,1.0111215811286,-0.755101798008443,1,1,1,0.373308808915364
23,6,1,1.0111215811286,1.58346197237242,1,1,1,0.373308808915364
23,7,1,1.0111215811286,1.33305855804674,1,1,1,0.373308808915364
23,8,1,1.0111215811286,1.25974145783948,1,1,1,0.373308808915364
23,9,1,1.0111215811286,0.648123692998253,1,1,1,0.373308808915364
23,10,1,1.0111215811286,-0.0465513252827167,1,1,1,0.373308808915364
24,1,1,0.517869600374269,0.682239113442484,,,1,0.373308808915364
24,2,1,0.517869600374269,-0.787840965873284,1,1,1,0.373308808915364
24,3,1,0.517869600374269,-0.142233808902502,1,1,1,0.373308808915364
24,4,1,0.517869600374269,-0.0418088074788011,1,1,1,0.373308808915364
24,5,1,0.517869600374269,-0.755101798008443,1,1,1,0.373308808915364
24,6,1,0.517869600374269,1.58346197237242,1,1,1,0.373308808915364
24,7,0,0.517869600374269,1.33305855804674,1,1,1,0.373308808915364
24,8,0,0.517869600374269,1.25974145783948,0,-1,1,0.373308808915364
24,9,0,0.517869600374269,0.648123692998253,0,-1,1,0.373308808915364
24,10,0,0.517869600374269,-0.0465513252827167,0,-1,1,0.373308808915364
25,1,0,-0.338892840274493,0.682239113442484,,,0,0.373308808915364
25,2,0,-0.338892840274493,-0.787840965873284,0,-1,0,0.373308808915364
25,3,0,-0.338892840274493,-0.142233808902502,0,-1,0,0.373308808915364
25,4,0,-0.338892840274493,-0.0418088074788011,0,-1,0,0.373308808915364
25,5,1,-0.338892840274493,-0.755101798008443,0,-1,0,0.373308808915364
25,6,0,-0.338892840274493,1.58346197237242,1,1,0,0.373308808915364
25,7,0,-0.338892840274493,1.33305855804674,0,-1,0,0.373308808915364
25,8,0,-0.338892840274493,1.25974145783948,0,-1,0,0.373308808915364
25,9,0,-0.338892840274493,0.648123692998253,0,-1,0,0.373308808915364
25,10,0,-0.338892840274493,-0.0465513252827167,0,-1,0,0.373308808915364
26,1,0,-2.06088864578875,0.682239113442484,,,0,0.373308808915364
26,2,0,-2.06088864578875,-0.787840965873284,0,-1,0,0.373308808915364
